,Departamento,Municipio,Fuente,Victima,Agente,Año,Tipo_agresion
12779,Huila,Neiva,Noche Y Niebla # 30 Pp. 203 Y 204,1,Grupo Armado No Identificado,2004,
12780,Valle Del Cauca,Cali,Noche Y Niebla # 30 Pp. 204,1,Grupo Armado No Identificado,2004,
12781,Sucre,San Onofre,Noche Y Niebla # 30 Pp. 204 Y 205,1,Fuerza Pública,2004,
12782,Norte De Santander,Cúcuta,Noche Y Niebla # 30 Pp. 204,2,Grupo Armado No Identificado,2004,
12783,Magdalena,Cienaga,Noche Y Niebla # 30 Pp. 206,1,Fuerza Pública,2004,
12784,Atlantico,Sabanalarga,Noche Y Niebla # 30 Pp. 206,1,Grupo Armado No Identificado,2004,
12785,Huila,Pitalito,Noche Y Niebla # 30 Pp. 205,1,Grupo Armado No Identificado,2004,
12786,Caldas,Villa María,Noche Y Niebla # 30 Pp. 206,1,Grupos Paramilitares,2004,
12787,Huila,Algeciras,Noche Y Niebla # 30 Pp. 207,2,Grupo Armado No Identificado,2004,
12788,Caldas,Manizales,Noche Y Niebla # 30 Pp. 208,1,Grupos Paramilitares,2004,
12789,Bogota,Bogotá D.C.,Noche Y Niebla # 30 Pp. 207,2,Grupos Paramilitares,2004,
12790,Sucre,Coloso,Noche Y Niebla # 30 Pp. 217,1,Grupos Paramilitares,2004,
12791,Sucre,Morroa,Noche Y Niebla # 30 Pp. 217,2,Guerrilla  ,2004,
12792,Valle Del Cauca,Buga,Noche Y Niebla # 30 Pp. 218 Y 219,1,Grupo Armado No Identificado,2004,
12793,Caldas,Villa María,Noche Y Niebla # 30 Pp. 218,1,Grupos Paramilitares,2004,
12794,Arauca,Arauca,Noche Y Niebla # 30 Pp. 219,1,Grupos Paramilitares,2004,
12795,Nariño,Pasto,Noche Y Niebla # 30 Pp. 219,1,Fuerza Pública,2004,
12796,Caldas,Chinchiná,Noche Y Niebla # 30 Pp. 219,1,Grupo Armado No Identificado,2004,
12797,Caldas,Samaná,Noche Y Niebla # 30 Pp. 219,1,Grupo Armado No Identificado,2004,
12798,Caldas,Samaná,Noche Y Niebla # 30 Pp. 221,2,Grupo Armado No Identificado,2004,
12799,Caldas,Filadelfia,Noche Y Niebla # 30 Pp. 222,1,Grupo Armado No Identificado,2004,
12800,Magdalena,Aracataca,Noche Y Niebla # 30 Pp. 221,1,Guerrilla  ,2004,
12801,Huila,Gigante,Noche Y Niebla # 30 Pp. 223,1,Grupo Armado No Identificado,2004,
12802,Arauca,Fortul,Noche Y Niebla # 30 Pp. 223,1,Grupos Paramilitares,2004,
12803,Antioquia,Medellín,Noche Y Niebla # 30 Pp. 222 Y 223,2,Fuerza Pública-Grupos Paramilitares,2004,
12804,Bolivar,Cartagena  ,Noche Y Niebla # 30 Pp. 225,1,Grupos Paramilitares,2004,
12805,Norte De Santander,San Calixto,Noche Y Niebla # 30 Pp. 224 Y 225,1,Grupos Paramilitares,2004,
12806,Cauca,La Sierra,Noche Y Niebla # 30 Pp. 226,2,Guerrilla  ,2004,
12807,La Guajira,Urumita,Noche Y Niebla # 30 Pp. 225,1,Guerrilla  ,2004,
12808,Arauca,Fortul,Noche Y Niebla # 30 Pp. 227,1,Grupos Paramilitares,2004,
12809,Arauca,Tame,Noche Y Niebla # 30 Pp. 227,1,Grupos Paramilitares,2004,
12810,Arauca,Tame,Noche Y Niebla # 30 Pp. 227,2,Grupos Paramilitares,2004,
